"행정구역(시군구)별","연령별","항목","단위","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"울산광역시","40 - 44세","시도간전입[명]","명","228","287","212","150","209","194","221","202","164","","","","","","","","","","","","","","","","","","","","","","","","","","","","2677","2630","2895","3110","3333","3196","3804","3376","3368","3333","3478","3727","3446","3502","3933","4082","4033","4278","4318","3195","2892","2685","2665","2785","2536","2429",
"울산광역시","40 - 44세","시도간전출[명]","명","278","309","252","190","198","180","202","231","181","","","","","","","","","","","","","","","","","","","","","","","","","","","","2870","3093","3452","3377","3443","3361","3890","3710","3719","3689","3762","3658","3920","3843","3634","3778","3944","3832","4183","3576","3399","3172","3094","3412","3319","2865",
"울산광역시","45 - 49세","총전입[명]","명","542","619","586","538","507","597","604","617","491","","","","","","","","","","","","","","","","","","","","","","","","","","","","6003","5721","6849","7568","7952","8355","10470","11463","10988","12234","13478","13849","12195","12611","12462","11841","11977","13481","13046","11049","10101","9768","10573","9856","8749","6847",
"울산광역시","45 - 49세","총전출[명]","명","581","723","605","529","512","605","608","645","479","","","","","","","","","","","","","","","","","","","","","","","","","","","","5981","5906","7070","7623","7976","8390","10540","11457","11277","12620","13643","13756","12572","12844","12412","11849","11780","13401","12964","11672","10798","10457","10960","10543","9337","7204",
"울산광역시","45 - 49세","순이동[명]","명","-39","-104","-19","9","-5","-8","-4","-28","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","-185","-221","-55","-24","-35","-70","6","-289","-386","-165","93","-377","-233","50","-8","197","80","82","-623","-697","-689","-387","-687","-588","-357",
"울산광역시","45 - 49세","시도내이동-시군구내[명]","명","168","199","193","213","204","275","254","251","181","","","","","","","","","","","","","","","","","","","","","","","","","","","","2584","2254","2769","3017","3209","3336","4243","4786","4567","5379","5551","5282","4634","4847","5238","4909","4965","5351","4969","4721","3987","3907","4195","3976","3515","2607",
"울산광역시","45 - 49세","시도내이동-시군구간 전입[명]","명","171","233","216","183","158","175","187","203","161","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003","2043","2500","2747","2774","3064","3792","4118","3925","4181","5017","5306","4591","4825","4238","3822","3702","4826","4564","3574","3547","3383","3823","3375","2971","2326",
"울산광역시","45 - 49세","시도내이동-시군구간 전출[명]","명","171","233","216","183","158","175","187","203","161","","","","","","","","","","","","","","","","","","","","","","","","","","","","2003","2043","2500","2747","2774","3064","3792","4118","3925","4181","5017","5306","4591","4825","4238","3822","3702","4826","4564","3574","3547","3383","3823","3375","2971","2326",
"울산광역시","45 - 49세","시도간전입[명]","명","203","187","177","142","145","147","163","163","149","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416","1424","1580","1804","1969","1955","2435","2559","2496","2674","2910","3261","2970","2939","2986","3110","3310","3304","3513","2754","2567","2478","2555","2505","2263","1914",
"울산광역시","45 - 49세","시도간전출[명]","명","242","291","196","133","150","155","167","191","137","","","","","","","","","","","","","","","","","","","","","","","","","","","","1394","1609","1801","1859","1993","1990","2505","2553","2785","3060","3075","3168","3347","3172","2936","3118","3113","3224","3431","3377","3264","3167","2942","3192","2851","2271",
"울산광역시","50 - 54세","총전입[명]","명","488","600","631","614","610","641","573","650","546","","","","","","","","","","","","","","","","","","","","","","","","","","","","3535","3534","4153","4310","4481","4757","5922","6319","6460","7647","8688","9245","8989","9710","10958","11029","10881","11824","12308","9624","8709","8726","10004","9578","9219","7500",
"울산광역시","50 - 54세","총전출[명]","명","521","621","659","617","619","697","583","665","556","","","","","","","","","","","","","","","","","","","","","","","","","","","","3414","3541","4203","4298","4425","4785","5879","6377","6549","7872","8962","9266","9249","9908","10963","10966","11003","11804","12465","10319","9352","9400","10529","10297","9947","7911",
"울산광역시","50 - 54세","순이동[명]","명","-33","-21","-28","-3","-9","-56","-10","-15","-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","121","-7","-50","12","56","-28","43","-58","-89","-225","-274","-21","-260","-198","-5","63","-122","20","-157","-695","-643","-674","-525","-719","-728","-411",
"울산광역시","50 - 54세","시도내이동-시군구내[명]","명","172","177","232","238","239","272","229","283","213","","","","","","","","","","","","","","","","","","","","","","","","","","","","1401","1346","1619","1714","1708","1942","2370","2607","2571","3161","3407","3370","3275","3669","4389","4393","4560","4498","4651","4024","3452","3377","3977","3902","3671","2914",
"울산광역시","50 - 54세","시도내이동-시군구간 전입[명]","명","147","193","210","214","204","209","181","192","183","","","","","","","","","","","","","","","","","","","","","","","","","","","","1195","1257","1483","1449","1601","1618","2019","2298","2326","2690","3261","3565","3414","3629","3899","3722","3476","4428","4637","3307","3203","3195","3818","3380","3317","2524",
"울산광역시","50 - 54세","시도내이동-시군구간 전출[명]","명","147","193","210","214","204","209","181","192","183","","","","","","","","","","","","","","","","","","","","","","","","","","","","1195","1257","1483","1449","1601","1618","2019","2298","2326","2690","3261","3565","3414","3629","3899","3722","3476","4428","4637","3307","3203","3195","3818","3380","3317","2524",
"울산광역시","50 - 54세","시도간전입[명]","명","169","230","189","162","167","160","163","175","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","939","931","1051","1147","1172","1197","1533","1414","1563","1796","2020","2310","2300","2412","2670","2914","2845","2898","3020","2293","2054","2154","2209","2296","2231","2062",
"울산광역시","50 - 54세","시도간전출[명]","명","202","251","217","165","176","216","173","190","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","818","938","1101","1135","1116","1225","1490","1472","1652","2021","2294","2331","2560","2610","2675","2851","2967","2878","3177","2988","2697","2828","2734","3015","2959","2473",
"울산광역시","55 - 59세","총전입[명]","명","429","485","553","510","548","551","461","513","457","","","","","","","","","","","","","","","","","","","","","","","","","","","","3073","2984","3349","3197","3235","3265","4018","4299","4267","5003","5498","5596","5356","5819","6789","7096","7199","8510","9432","8630","7971","7854","8737","8527","8004","6290",
"울산광역시","55 - 59세","총전출[명]","명","471","527","541","528","555","582","510","548","475","","","","","","","","","","","","","","","","","","","","","","","","","","","","2862","2968","3324","3124","3120","3166","3871","4272","4230","5158","5584","5696","5541","6023","6904","7224","7414","8666","9790","9265","8826","8703","9333","9362","8897","6815",
"울산광역시","55 - 59세","순이동[명]","명","-42","-42","12","-18","-7","-31","-49","-35","-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","211","16","25","73","115","99","147","27","37","-155","-86","-100","-185","-204","-115","-128","-215","-156","-358","-635","-855","-849","-596","-835","-893","-525",
"울산광역시","55 - 59세","시도내이동-시군구내[명]","명","154","152","196","167","214","226","176","203","175","","","","","","","","","","","","","","","","","","","","","","","","","","","","1099","941","1149","1109","1026","1139","1405","1562","1501","1917","2013","2025","1786","2079","2560","2768","2705","3175","3388","3412","2981","2798","3262","3434","3177","2401",
"울산광역시","55 - 59세","시도내이동-시군구간 전입[명]","명","144","162","179","181","174","191","167","178","156","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001","1083","1196","1133","1177","1140","1393","1572","1473","1802","1989","2041","1964","2153","2411","2397","2528","3164","3557","3160","3034","2990","3471","3112","2933","2279",
"울산광역시","55 - 59세","시도내이동-시군구간 전출[명]","명","144","162","179","181","174","191","167","178","156","","","","","","","","","","","","","","","","","","","","","","","","","","","","1001","1083","1196","1133","1177","1140","1393","1572","1473","1802","1989","2041","1964","2153","2411","2397","2528","3164","3557","3160","3034","2990","3471","3112","2933","2279",
"울산광역시","55 - 59세","시도간전입[명]","명","131","171","178","162","160","134","118","132","126","","","","","","","","","","","","","","","","","","","","","","","","","","","","973","960","1004","955","1032","986","1220","1165","1293","1284","1496","1530","1606","1587","1818","1931","1966","2171","2487","2058","1956","2066","2004","1981","1894","1610",
"울산광역시","55 - 59세","시도간전출[명]","명","173","213","166","180","167","165","167","167","144","","","","","","","","","","","","","","","","","","","","","","","","","","","","762","944","979","882","917","887","1073","1138","1256","1439","1582","1630","1791","1791","1933","2059","2181","2327","2845","2693","2811","2915","2600","2816","2787","2135",
"울산광역시","60 - 64세","총전입[명]","명","415","442","483","440","519","547","428","476","390","","","","","","","","","","","","","","","","","","","","","","","","","","","","2263","2182","2887","2744","2691","2960","3559","3576","3470","3686","3599","3625","3539","3752","4066","4354","4255","5034","5689","5597","5229","5408","6567","6968","7270","5562",
